ANX_i_c,STR_c,FREAZING_c,olderi,female,Juvenaile,PSS,inactive,HFD,FD,EBR,PBR
-0.124334532,0.10072631047395442,0.07706214,0,1,1,0,1,0,0,0,1
0.005665468,-0.097997482,0.19868581615390585,0,1,1,0,1,0,0,0,1
-0.204334532,-0.017231757,-0.081048639,0,1,1,0,1,0,0,0,1
0.19566546762589931,0.5963203548373698,0.2716600218288562,0,0,0,1,0,0,0,1,0
0.075665468,0.18720458455478095,0.004087934,0,0,0,1,0,0,0,0,1
0.11566546762589935,-0.063904501,0.064899772,0,0,0,1,0,0,0,0,1
0.005665468,-0.128808785,-0.020236801,0,0,0,1,0,0,0,0,1
-0.114334532,-0.031330815,-0.044561536,0,0,0,1,0,0,0,0,1
0.1656654676258993,0.067605678,0.040575037,0,0,0,1,0,0,0,0,1
0.065665468,0.078179972,0.064899772,0,0,0,1,0,0,0,0,1
0.1756654676258993,0.1692161311971389,-0.008074433,0,0,0,1,0,0,0,0,1
0.035665468,-0.092163389,0.004087934,0,0,0,1,0,0,0,0,1
0.045665468,-0.174326865,-0.093211007,0,0,0,1,0,0,0,0,0
-0.004334532,-0.002099578,-0.117535742,0,0,0,1,0,0,0,0,0
0.095665468,0.34691287990573816,-0.056723904,0,0,0,1,0,0,0,1,0
0.075665468,-0.119389156,-0.141860477,0,0,0,1,0,0,0,0,0
0.11566546762589935,-0.141874723,-0.081048639,0,0,0,1,0,0,0,0,0
0.13566546762589926,0.18088431715885267,-0.008074433,0,0,0,1,0,0,0,0,1
0.085665468,-0.014861657,-0.117535742,0,0,0,1,0,0,0,0,1
0.025665467625899274,-0.084323826,-0.141860477,0,0,0,1,0,0,0,0,0
-0.044334532,0.025004645326582864,-0.141860477,0,0,0,1,0,0,0,0,0
0.015665467625899265,-0.136648348,-0.129698109,0,0,0,1,0,0,0,0,1
0.055665468,-0.086693927,-0.068886271,0,0,0,1,0,0,0,0,0
